cluster,topics,aspects
64.0,"['qualiti', 'quality,', 'look', 'build', 'price', 'poor', 'sturdi', 'design', 'premium', 'overal', 'built', 'feel']","built, price, design  "
65.0,"['perform', 'look', 'use', 'one', 'featur', 'rang', 'design', 'premium', 'experi', 'give', 'price', 'feel']","looks , design, feel "
66.0,"['lookwis', 'look', 'smart', 'stun', 'wise', 'head', 'amaz', 'attract', 'appeal', 'bodi', 'expect', 'overal', 'beauti', 'feel']","looks , design "
67.0,"['littl', 'size', 'inch', 'bit', 'small', 'perfect', 'huge', 'mm', 'design', 'width', 'big', 'larg', 'thin', 'comfort', 'ok', 'price']","size, width, design"
68.0,"['day', 'use', 'one', 'youtub', 'negat', 'honest', 'review', 'write', 'month', 'week', 'usag', 'read']",none
69.0,"['simpl', 'look', 'impress', 'pretti', 'eleg', 'design,', 'amaz', 'design', 'attract', 'super', 'color', 'overal', 'beauti', 'colour', 'love']","design, looks"
70.0,"['look', 'one', 'beauti', 'amaz', 'hold', 'in-hand', 'bodi', 'comfort', 'overal', 'heavi', 'hand', 'light', 'feel']","design, in hand feel , comfort , weight"
71.0,"['look', 'handl', 'bit', 'quit', 'weight', 'easi', 'lightweight', 'hold', 'design', 'slim', 'heavi', 'light', 'feel']","looks, in hand feel , comfort , weight, design "
72.0,"['heptic', 'feedback', 'vibrat', 'mode', 'game', 'haptic', 'use', '4d', 'premium', 'experi', 'motor', 'type', 'touch', 'feel']","haptics, vibration, touch, feel  "
73.0,"['sometim', 'becom', 'daili', 'time', '1st', 'one', 'lot', 'begin', 'bother', 'irrit', 'annoy', 'usag', 'frustrat', 'up,', 'thing']",none  
74.0,"['well', 'let', 'day', 'pros:1', 'one', 'con', 'come', 'found', 'drawback', 'pros', 'disadvantag', 'review', 'would', 'perform', 'ths', 'wll']",none  
75.0,"['beast', 'one', 'love', 'awsm', 'absolut', 'amaz', 'real', 'rang', 'perform', 'overal', 'monster', 'price', 'ths', 'beauti']",none  
76.0,"['devic', 'worth', 'one', 'use', 'money', 'featur', 'rang', 'first', 'review', 'valu', 'experi', 'overal', 'perform', 'price']",none  
77.0,"['averag', 'look', 'hype', 'around', 'level', 'pretti', 'lke', 'rang', 'everyth', 'per', 'experi', 'expect', 'overal', 'ok', 'price', 'ths']",none  
78.0,"['qualiti', 'rear', 'averag', 'cam', 'selfi', 'camera', 'one', 'light', 'poor', 'take', 'photo', 'decent', 'front', 'low']","selfie , camera , front camera"
79.0,"['qualiti', 'score', '10/10', '4/5', '9/10', 'zero', 'rang', '8/10', 'amazon', 'rate', 'would', 'side', 'overal', 'price', '5/5']",none
80.0,"['gven', 'dsplay', '4/5', 'want', 'gvng', 'gve', 'star', 'would', 'ratng', 'overal', 'ths', 'wll']",none
81.0,"['deserv', 'one', 'even', 'less', 'star', 'gve', 'amazon', 'rate', 'would', 'overal', 'deduct', 'give', 'given', 'ths']",none
82.0,"['time', 'fngerprnt', 'unlock', 'take', 'ths', 'keep', 'open', 'even', 'button', 'would', 'work', 'lock', 'touch', 'screen']","lock ,unlock , fingerprint, button"
83.0,"['devic', 'latest', 'user', 'one', 'clean', 'want', 'featur', 'stock', 'io', 'first', 'ui', 'experi', 'android', 'price']","io, ui , android"
84.0,"['stop', 'sometim', 'time', 'day', 'one', 'function', 'even', 'back', 'press', 'button', 'month', 'work', 'need', 'feel']",button
85.0,"['letter', 'day', 'keypad', 'proper', 'hang', 'place', 'older', 'even', 'keyboard', 'work', 'key', 'slow', 'type', 'problem', 'ths']","keypad, hang, keyboard"
86.0,"['sometim', 'smooth', 'time', 'proper', 'sensit', 'one', 'workng', 'issu', 'work', 'respons', 'slow', 'problem', 'touch', 'screen']",touch
87.0,"['macro', 'mode', 'len', 'good,', 'camera', 'one', 'shot', 'super', 'work', 'wide', 'main', 'sensor', 'angl']","macro camera, camera , wide angle, "
88.0,"['superb', 'day', 'pretti', 'share', 'amaz', 'far', 'wonder', 'first', 'experi', 'satisfi', 'overal', 'ok', 'person', 'give', 'hand', 'till']",none 
89.0,"['time', 'horribl', 'again,', 'ever', 'wast', 'one', 'poor', 'money', 'ruin', 'first', 'experi', 'overal', 'terribl', 'given', 'till']",none 
90.0,"['play', 'support', 'hdr', 'stream', 'screen', 'watch', 'movi', 'video', 'ott', 'hd', 'amazon', 'content', 'netflix']","hdr, streaming , movie , ott , amazon, netflix"
91.0,"['qualiti', 'look', '4/5', '5/5batteri', '5/5camera', 'camera', 'life', 'speed', 'review', 'work', 'display', 'perform', '5/5,', '5/5']",none
92.0,"['qualiti', 'record', 'camera', 'improv', 'stabil', 'optic', 'oi', 'poor', 'stabl', 'video', 'stabilis', 'work', 'price', 'imag']","video stabalization, camera "
93.0,"['qualiti', 'record', 'play', 'support', '30fps', 'camera', '4k', 'motion', 'watch', 'video', 'fps', 'slow', '60fps']","video recording, camera , fps "
94.0,"['qualiti', 'look', 'configur', 'specs,', 'high', 'match', 'rang', 'paper', 'mention', 'specif', 'review', 'work', 'overal', 'perform', 'price', 'spec']",none
95.0,"['day', 'flagshp', 'say', 'one', 'revew', 'lke', 'kller', 'true', 'would', 'usng', 'budget', 'perform', 'ths', 'wth']",flagship
96.0,"['memori', 'support', 'slot', 'extern', 'card', 'sm', 'avail', 'sd', 'micro', 'slot,', 'dedic', 'expand', 'provis', 'option']","memory card, sd card , slot "
97.0,"['gb', 'ram', '8gb', 'varant', 'got', 'manag', '4gb', '128gb', '128', 'bought', 'storag', '6gb', 'ths']","ram , memory "
98.0,"['bar', 'led', 'disabl', 'notif', 'light', 'app', 'even', 'get', 'messag', 'show', 'lock', 'display', 'screen']","notification , display , notification light"
99.0,"['well', 'look', 'day', 'one', 'wise', 'poor', 'issu', 'happi', 'decent', 'expect', 'overal', 'perform', 'ths', 'wth']",performance
100.0,"['smooth', 'look', 'worth', 'smoother', 'love', 'oper', 'smooth,', 'super', 'work', 'run', 'fast', 'perform', 'price', 'feel']",performance
101.0,"['smooth', 'day', 'processng', 'littl', 'help', 'speed', 'even', 'budget', 'work', 'process', 'respons', 'fast', 'slow', 'perform', 'ths']","processing, performance"
102.0,"['perform', 'sometim', 'look', 'time', 'bit', 'one', 'speed', 'oper', 'get', 'super', 'work', 'faster', 'overal', 'slow', 'fast', 'feel']","processing, performance"
103.0,"['qualiti', 'look', 'mid', 'midrang', 'user', 'killer', 'one', 'mid-rang', 'featur', 'want', 'amaz', 'rang', 'expect', 'overal']","money, price , mid range"
104.0,"['play', 'gamng', 'bgm', 'game', 'comment', 'lke', 'gamer', 'recommend', 'wll', 'exper', 'devc', 'perform', 'ths', 'wth']","gaming , bgm"
105.0,"['fngerprnt', 'fnger', 'scanner', 'lfe', 'sometm', 'reader', 'lttle', 'bt', 'use', 'work', 'fp', 'slow', 'wth', 'fast', 'ths', 'prnt']",fingerprint scanner
106.0,"['sometim', 'time', 'day', 'hang', 'heat', 'lot', 'issu', 'get', 'work', 'month', 'start', 'slow', 'problem']","hang , heating"
107.0,"['peopl', 'senior', 'age', 'citizen', 'suitabl', 'perfect', 'use', 'onlin', 'kid', 'class', 'parent', 'elder', 'old', 'gift', 'person']","senior citizen, parents, online class , gift, elder person"
108.0,"['ssue', 'fngerprnt', 'fnger', 'proper', 'one', 'workng', 'sensor', 'proxmti', 'work', 'wth', 'problem', 'ths', 'prnt']","fingerprint scanner , proximity sensor"
109.0,"['well', 'except', 'proper', 'one', 'know', 'issu', 'everyth', 'big', 'face', 'proxim', 'work', 'sensor,', 'problem', 'fine', 'sensor', 'thing']", proximity sensor
